Number_of_Riders,Number_of_Drivers,Number_of_Past_Rides,Average_Ratings,Expected_Ride_Duration,Historical_Cost_of_Ride,Predicted_Cost_of_Ride,Error
38,8,78,3.57,114,470.2690237026412,412.794335369587,57.474688333054246
83,18,12,4.98,81,286.409294385432,304.9964335281614,-18.58713914272937
22,7,15,3.53,180,552.2693747461685,641.1102734491874,-88.84089870301887
29,13,44,4.29,87,267.7404170012178,322.49951715746255,-54.759100156244756
91,14,19,4.78,19,111.11271494112724,83.42010720023791,27.69260774088933
68,23,96,4.77,105,359.128113102171,396.26178638700026,-37.13367328482923
32,6,13,4.75,53,173.88747446193491,200.7312039749068,-26.84372951297189
84,54,59,4.98,43,196.31514152174805,188.6977325526613,7.617408969086739
27,7,89,3.6,120,555.4019371049674,434.7445542243958,120.65738288057156
91,31,12,4.39,39,163.21458328772866,157.70033216638387,5.514251121344785
28,18,100,3.62,92,382.03843862699455,341.2594570145543,40.77898161244025
32,22,49,4.65,60,221.4343854791753,233.6915075721812,-12.257122093005904
38,7,28,3.85,12,36.00027803358747,50.93952091499028,-14.939242881402812
71,25,72,4.46,169,603.9358824371426,619.0958011113784,-15.159918674235769
88,71,42,4.87,109,330.78364034759613,426.57267819567386,-95.78903784807773
50,25,89,4.74,107,383.9141419544756,403.80706720280216,-19.89292524832655
35,22,82,3.79,174,586.7988633141081,632.1725760640574,-45.37371274994928
28,9,26,3.95,114,466.9720738288303,412.5630041152266,54.409069713603685
27,12,1,4.93,41,119.4823999754907,161.3779128935951,-41.8955129181044
75,32,20,3.69,96,440.4442377359072,355.2069725427768,85.23726519313044
33,14,38,4.89,127,461.3060120664082,467.8618561790174,-6.555844112609236
32,5,80,3.55,14,45.91711193197189,58.70914402100334,-12.792032089031451
26,11,10,4.22,69,314.84471031916905,255.40447636756716,59.4402339516019
31,21,77,4.83,107,389.3845083155804,402.3799718768533,-12.995463561272913
62,21,61,4.57,56,215.4338699200544,218.81463771077046,-3.3807677907160496
48,23,0,4.46,174,472.56954081275165,631.5003945890103,-158.93085377625863
55,42,24,4.49,45,156.03832988580584,185.60027797667576,-29.56194809086992
88,7,11,3.64,130,573.2085393656391,463.81298517250843,109.39555419313069
31,17,71,4.46,55,237.76862211931405,214.1737341298051,23.594887989508948
70,7,13,4.09,117,321.0007657787772,421.60933398247874,-100.60856820370157
34,24,3,4.41,97,242.75171700488076,360.2439094133513,-117.49219240847052
77,46,97,4.2,25,150.53929481479082,119.09664550219756,31.44264931259326
