Actual,Predicted_Lasso,Predicted_LinearRegression,Error_Lasso,Error_LR,Revenue_Per_Minute,Profit_Per_Minute,Cost_Per_Transaction
284.25727302188227,284.2614087414935,284.2572730218821,-0.004135719611213062,1.7053025658242404e-13,284.25727302188227,281.0988588771947,3.1584141446875806
173.87475274940766,173.86942261212607,173.8747527494075,0.0053301372815894865,1.7053025658242404e-13,234.5287362666429,230.4851373654939,2.9978405646449597
329.7954689622466,329.78647425657397,329.7954689622464,0.008994705672648706,2.2737367544323206e-13,182.25539074229417,177.91597667700145,7.852273070529681
470.2012317513198,470.20833038764056,470.2012317513195,-0.007098636320733931,3.410605131648481e-13,312.29783302886165,308.788868612807,5.2831599073182005
579.6814223640141,579.6822964131534,579.6814223640138,-0.0008740491392700278,3.410605131648481e-13,303.4573888885443,299.56690954381935,7.43181310723095
339.9553606047221,339.972720869301,339.9553606047219,-0.01736026457888329,2.2737367544323206e-13,156.6981740287391,154.0422727740147,5.761955264486815
104.06154127359152,104.08298051617288,104.06154127359143,-0.021439242581365647,8.526512829121202e-14,604.8577086527507,598.3538623231512,1.118941304017113
235.81186355605,235.80769864422854,235.8118635560499,0.00416491182147638,1.1368683772161603e-13,311.0709689462787,306.0536952535968,3.8034171541298387
501.4125174833056,501.41230113085453,501.4125174833052,0.00021635245104789647,3.979039320256561e-13,309.46553813422764,305.54825284138934,6.346993892193741
398.9933645706103,399.0025761378935,398.99336457061,-0.009211567283216482,2.8421709430404007e-13,130.9196977497315,127.80256208902362,9.49984201358596
669.2986264658781,669.2985822584399,669.2986264658778,4.420743823629891e-05,3.410605131648481e-13,344.6687537488953,340.6609775425128,7.782542168207885
414.9901047325251,415.0077887195418,414.9901047325248,-0.017683987016710034,2.8421709430404007e-13,172.91254363855214,170.03066791124292,6.916501745542084
490.41072171830416,490.4292017765337,490.4107217183038,-0.018480058229556562,3.410605131648481e-13,71.76742269048354,68.77711341171339,20.433780071596008
296.24287599192223,296.2392164130222,296.242875991922,0.003659578900055749,2.2737367544323206e-13,128.4908859724,124.9216946953889,8.228968777553396
327.0888648717375,327.0932288133021,327.0888648717373,-0.004363941564633933,1.7053025658242404e-13,202.0254753619555,198.81872178478162,5.191886743995833
445.1368684239125,445.1470165115756,445.13686842391223,-0.01014808766308306,2.8421709430404007e-13,124.00241334666134,120.82286428649053,11.413765857023398
244.5361718306458,244.52721438258757,244.53617183064566,0.008957448058225737,1.4210854715202004e-13,172.08100980675076,167.5525621802573,6.435162416595942
47.31430863361691,47.30208910988495,47.31430863361683,0.012219523731957338,7.815970093361102e-14,145.09721314309186,141.94292590085075,1.0285719268177589
129.8082629093964,129.80601273392492,129.80826290939635,0.0022501754714880917,5.684341886080802e-14,194.7123943640946,188.81201877730385,3.9335837245271636
382.9481103198511,382.9363484894026,382.9481103198508,0.011761830448506316,2.8421709430404007e-13,136.45277494155613,132.0510725240866,12.353164849027454
82.77279318243978,82.80824621517999,82.77279318243973,-0.03545303274020739,5.684341886080802e-14,722.3807405012926,714.8559411210708,0.8622165956504144
64.07117255500656,64.06206354264053,64.07117255500648,0.009109012366025127,7.105427357601002e-14,93.97105308067628,89.69964157700919,2.912326025227571
